SKU;Produto;EAN;EH 1º Nível;Preço (R$);EH 3º Nível;EH 2º Nível;Estoque;Ruptura (R$)
106248;SUCO FINFI 1L INT 80% LARAN;7898966335358;MERCEARIA;7.09;NAO ALCOOLICOS;LIQUIDA;2.000;14.18
7693;PIPOCA YOKI 500G PREMIUM;7891095006984;MERCEARIA;6.99;GRAOS E FARINACEOS;SECA COMMODITIES;2.000;13.98
4657;*CEREAL NESTON 400G;7891000011300;MERCEARIA;13.59;NUTRICAO INFANTIL;SECA DOCE;1.000;13.59
75789;BEBIDA LACTEA PIRACANJUBA 200ML PIRAKIDS;7898215151807;MERCEARIA;1.49;BEBIDAS LACTEAS;LIQUIDA;9.000;13.41
73092;*LENTILHA KI SABOR 500G SECA;7898416522086;MERCEARIA;12.99;GRAOS E FARINACEOS;SECA COMMODITIES;1.000;12.99
77994;VINHO SAN MARTIN 1,4L TTO SECO;7896267701735;MERCEARIA;12.69;VINHOS;LIQUIDA;1.000;12.69
77993;VINHO SAN MARTIN 1,4L BCO SECO;7896267701711;MERCEARIA;12.69;VINHOS;LIQUIDA;1.000;12.69
77991;VINHO SAN MARTIN 1,4L BCO SUAV;7896267701704;MERCEARIA;12.69;VINHOS;LIQUIDA;1.000;12.69
4165;NECTAR DEL VALLE 1L MAIS *PESSEGO;7894900266023;MERCEARIA;6.29;NAO ALCOOLICOS;LIQUIDA;2.000;12.58
36505;CHOC GRANULADO OETKER 130G MESCL;7891048014035;MERCEARIA;5.99;DOCES E SOBREMESAS;SECA DOCE;2.000;11.98
79996;MIX TEMPERO GAUER TEMPEROS 18G CARNE;7898960551341;PERECIVEIS;5.79;FOLHAGENS E PROCESS;FLV;2.000;11.58
79464;MIX TEMPERO GAUER TEMPEROS 18G PEIXE;7898960551358;PERECIVEIS;5.79;FOLHAGENS E PROCESS;FLV;2.000;11.58
53741;NATA STA CLARA 200G ZR LACTOSE;7896504305566;PERECIVEIS;11.09;LATICINIOS E MASSAS;P.A.S.;1.000;11.09
34056;AMENDOIM RAMOS 350G C/SAL TORRAD;7898960412024;MERCEARIA;10.99;SALGADINHOS E APERITIVOS;SECA SALGADA;1.000;10.99
13121;EMPANADO FGO STEAK SEARA 100G;7894904003495;PERECIVEIS;2.39;CONGELADOS;P.A.S.;4.000;9.56
91249;BEBIDA LACTEA PIA 900G LAC *AMEIXA;7896348844894;PERECIVEIS;6.60;IOGURTES;P.A.S.;1.000;6.60
4167;NECTAR DEL VALLE 1L MAIS UVA;7894900265026;MERCEARIA;5.99;NAO ALCOOLICOS;LIQUIDA;1.000;5.99
90049;BEBIDA LACTEA NESTLE .200ML NESCAU;7891000379103;MERCEARIA;2.99;BEBIDAS LACTEAS;LIQUIDA;2.000;5.98
3972;*FORMA PAPEL CONSERV N4 C/200 *ROSA 65;7896276900563;BAZAR;0.99;DESCARTAVEIS DA CASA;DESCARTAVEIS;6.000;5.94
89400;NECTAR IZZY 200ML T PACK UVA;7896288960746;MERCEARIA;1.70;NAO ALCOOLICOS;LIQUIDA;3.000;5.10
86390;BEBIDA KISLLA 275ML MISTA ICE GIN C/LIMAO SICILIA;7898422673666;MERCEARIA;4.99;ALCOOLICOS;LIQUIDA;1.000;4.99
73830;SABONETE PROTEX 85G HID *ARGAN;7891024036938;MERCEARIA;4.99;CUIDADO COM CORPO;PERFUMARIA;1.000;4.99
103461;PALITINHO QUITANDA 140G CHURRASCO;7898965038366;MERCEARIA;3.99;SALGADINHOS E APERITIVOS;SECA SALGADA;1.000;3.99
7644;BEBIDA LACTEA PIA 540G LAC MOR;7896348841763;PERECIVEIS;3.79;IOGURTES;P.A.S.;1.000;3.79
16037;REFRIG PEPSI 350ML;7892840800079;MERCEARIA;2.79;REFRIGERANTES;LIQUIDA;1.000;2.79
3721;DETERG LOUCA LIMPOL 500ML CRISTAL;7891022100372;MERCEARIA;2.69;LIMPEZA CASA;LIMPEZA E DESCARTAVEIS;1.000;2.69
81524;SNACK QUITANDA 50G QUEIJO;7898952658737;MERCEARIA;1.89;SALGADINHOS E APERITIVOS;SECA SALGADA;1.000;1.89
89705;REFRIG SUKITA 200ML LARAN;7891149108282;MERCEARIA;1.59;REFRIGERANTES;LIQUIDA;1.000;1.59
