SKU;Produto;EH 1º Nível;EH 2º Nível;EH 3º Nível;Estoque
80722;VINHO ORIGEM 750ML BRA TTO SECO MERLOT;MERCEARIA;LIQUIDA;VINHOS;12.000
102392;CASTANHA CAJU SNACK CLUB 120G TORRAD C/SAL;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;24.000
51399;PAO QUEIJO FORNO MINAS 1KG TRAD;PERECIVEIS;P.A.S.;CONGELADOS;16.000
97801;LING CHURRASCO AURORA KG RESF;PERECIVEIS;ACOUGUE;MANIPULADOS ACOUGUE;19.000
96977;VINHO CHAC CHAC 750ML ARG MALB TTO;MERCEARIA;LIQUIDA;VINHOS;13.000
93818;BEBIDA LACTEA DANONE 250ML YOPRO BANANA;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;52.000
11993;RUM MONTILLA 1L BRA CARTA OURO;MERCEARIA;LIQUIDA;ALCOOLICOS;12.000
88363;FEIJAO FRITZ FRIDA 1KG PREM PRETO TP1;MERCEARIA;SECA COMMODITIES;ARROZ E FEIJAO;51.000
93816;BEBIDA LACTEA DANONE 250ML YOPRO CHOC;MERCEARIA;SECA DOCE;CEREAIS E SAUDAVEIS;44.000
4814;POLIDOR SILVO 200ML;MERCEARIA;LIMPEZA E DESCARTAVEIS;LIMPEZA CASA;13.000
93120;BOMBOM FERRERO 134G COLLECTION T12;MERCEARIA;SECA DOCE;BOMBONIERE;8.000
10701;ABSORV OB C/10 SUPER LV10 PG8;MERCEARIA;PERFUMARIA;DESCARTAVEIS HIGIENICO;38.000
89323;TORRADA BAUDUCCO 142G MULTIGRAOS;MERCEARIA;SECA DOCE;PAES INDUSTRIALIZADOS;72.000
39947;SHAMPOO DOVE 400ML BABY ENRIQ;MERCEARIA;PERFUMARIA;CUIDADOS INFANTIL;15.000
61737;BISC CLUB SOCIAL 288G ORIG;MERCEARIA;SECA DOCE;BISCOITOS;40.000
49880;GUARDANAPO MILI. 30X29,5 C/50;MERCEARIA;LIMPEZA E DESCARTAVEIS;DESCARTAVEIS PAPEL;102.000
87209;VINHO LOMA NEGRA 750ML CHIL RESERVA CAB SAUV;MERCEARIA;LIQUIDA;VINHOS;7.000
44037;DES AXE 150ML AERO MASC BLACK;MERCEARIA;PERFUMARIA;CUIDADO COM CORPO;24.000
